unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
26.515;0.025;0.098;0.102;0.118;0.092;0.075;0.094;0.078;0.000;0.000;0.355;0.312;0.000;0.000;0.792;0.712;0.003;0.001;0.000;0.000;0.087;0.089;0.027;0.000;0.000;0.002;0.000;natural;2
26.557;0.007;0.149;0.103;0.104;0.102;0.091;0.101;0.089;0.000;0.000;0.344;0.238;0.000;0.000;0.793;0.713;0.002;0.002;0.000;0.000;0.106;0.097;0.027;0.000;0.000;0.001;0.000;natural;2
26.600;0.001;0.124;0.103;0.118;0.103;0.077;0.103;0.091;0.000;0.000;0.268;0.155;0.000;0.000;0.775;0.694;0.002;0.001;0.000;0.000;0.118;0.108;0.027;0.000;0.000;0.001;0.000;natural;2
26.642;0.000;0.037;0.126;0.119;0.103;0.091;0.111;0.098;0.000;0.000;0.157;0.121;0.000;0.000;0.643;0.560;0.002;0.001;0.000;0.000;0.156;0.101;0.027;0.000;0.000;0.000;0.000;natural;2
26.683;0.000;0.020;0.107;0.107;0.132;0.106;0.104;0.102;0.000;0.000;0.091;0.071;0.000;0.000;0.383;0.296;0.001;0.001;0.000;0.000;0.154;0.083;0.027;0.000;0.000;0.000;0.000;natural;2
26.725;0.000;0.001;0.104;0.104;0.131;0.104;0.104;0.103;0.000;0.000;0.061;0.060;0.000;0.000;0.291;0.204;0.001;0.001;0.000;0.000;0.148;0.060;0.027;0.000;0.000;0.000;0.000;natural;2
26.768;0.000;0.000;0.080;0.094;0.108;0.095;0.103;0.096;0.000;0.000;0.048;0.048;0.000;0.000;0.213;0.126;0.001;0.001;0.000;0.000;0.154;0.028;0.027;0.000;0.000;0.000;0.000;natural;2
26.809;0.042;0.012;0.077;0.101;0.080;0.070;0.083;0.072;0.000;0.000;0.256;0.279;0.000;0.000;0.213;0.126;0.001;0.000;0.000;0.000;0.112;0.024;0.027;0.000;0.000;0.000;0.000;natural;2
26.850;0.029;0.087;0.066;0.079;0.067;0.056;0.077;0.066;0.000;0.000;0.385;0.350;0.000;0.000;0.373;0.283;0.000;0.000;0.003;0.000;0.093;0.001;0.033;0.000;0.000;0.000;0.000;natural;2
26.892;0.021;0.092;0.056;0.068;0.066;0.041;0.068;0.057;0.000;0.000;0.377;0.330;0.000;0.000;0.386;0.296;0.000;0.000;0.005;0.000;0.091;0.000;0.036;0.000;0.000;0.000;0.000;natural;2
26.920;0.026;0.127;0.041;0.057;0.056;0.029;0.066;0.055;0.000;0.000;0.394;0.338;0.000;0.000;0.393;0.304;0.000;0.000;0.011;0.000;0.066;0.000;0.048;0.000;0.000;0.006;0.000;natural;2
26.962;0.186;0.332;0.039;0.055;0.055;0.028;0.066;0.055;0.000;0.000;0.358;0.408;0.000;0.000;0.392;0.303;0.000;0.000;0.009;0.000;0.062;0.000;0.052;0.000;0.000;0.004;0.000;natural;2
27.004;0.607;0.723;0.038;0.054;0.054;0.035;0.071;0.060;0.000;0.000;0.157;0.291;0.000;0.000;0.201;0.111;0.000;0.000;0.007;0.000;0.047;0.000;0.048;0.000;0.000;0.002;0.000;natural;2
27.045;0.361;0.340;0.052;0.056;0.039;0.028;0.074;0.064;0.000;0.000;0.360;0.344;0.161;0.251;0.000;0.000;0.001;0.000;0.005;0.000;0.034;0.008;0.053;0.000;0.000;0.001;0.000;natural;2
27.088;0.228;0.223;0.053;0.055;0.038;0.027;0.075;0.064;0.000;0.000;0.400;0.396;0.274;0.363;0.000;0.000;0.002;0.001;0.004;0.000;0.032;0.013;0.061;0.000;0.000;0.001;0.000;natural;2
27.116;0.089;0.107;0.043;0.055;0.038;0.027;0.069;0.065;0.000;0.000;0.412;0.407;0.342;0.431;0.000;0.000;0.002;0.001;0.003;0.000;0.032;0.017;0.064;0.000;0.000;0.000;0.000;natural;2
27.143;0.089;0.107;0.043;0.055;0.038;0.027;0.069;0.065;0.000;0.000;0.412;0.407;0.342;0.431;0.000;0.000;0.002;0.001;0.003;0.000;0.032;0.017;0.064;0.000;0.000;0.000;0.000;natural;2
27.185;0.027;0.085;0.051;0.054;0.038;0.027;0.066;0.065;0.000;0.000;0.377;0.341;0.296;0.385;0.000;0.000;0.002;0.002;0.010;0.020;0.034;0.012;0.072;0.000;0.000;0.000;0.000;natural;2
27.226;0.028;0.083;0.042;0.054;0.043;0.031;0.070;0.065;0.000;0.000;0.373;0.339;0.247;0.337;0.000;0.000;0.002;0.001;0.008;0.023;0.019;0.011;0.075;0.000;0.000;0.000;0.000;natural;2
27.255;0.189;0.170;0.046;0.058;0.040;0.029;0.072;0.065;0.000;0.000;0.410;0.405;0.247;0.337;0.000;0.000;0.002;0.002;0.006;0.022;0.027;0.027;0.071;0.000;0.000;0.000;0.000;natural;2
27.297;0.207;0.204;0.041;0.056;0.039;0.028;0.069;0.065;0.000;0.000;0.431;0.428;0.360;0.452;0.000;0.000;0.002;0.002;0.005;0.016;0.018;0.009;0.074;0.000;0.000;0.000;0.000;natural;2
27.339;0.154;0.165;0.046;0.055;0.038;0.028;0.067;0.059;0.000;0.000;0.439;0.437;0.359;0.451;0.000;0.000;0.002;0.002;0.011;0.029;0.016;0.004;0.071;0.000;0.000;0.000;0.000;natural;2
